Label,Issue,Suggestion
N/A,The document does not define all terms and units of measure used.,Include a glossary section that defines all terms and units of measure used in the document.
N/A,"The document does not provide complete labels and references for all figures, tables, and diagrams.","Ensure that all figures, tables, and diagrams are labeled and referenced appropriately within the document."
Section 1.1,The goals and objectives section does not specify measurable goals.,Specify measurable goals such as 'reduce administrative time by 30%' or 'increase parent satisfaction by 20%'.
Section 1.2,The statement of scope does not mention any design constraints or external interfaces.,Include design constraints such as 'must comply with HIPAA regulations' and external interfaces like 'integration with existing payroll systems'.
R7,Does not specify the method for resetting the password after a user is locked out.,"Include a requirement that specifies the method for resetting the password, such as 'The system shall allow administrators to reset user passwords through a secure interface.'"
R12,Does not specify how a new password is assigned if a user forgets their password.,"Specify the process for assigning a new password, such as 'The system shall send a temporary password to the user's registered email address.'"
R13,Does not specify what happens to unsaved data when a user is logged off due to inactivity.,"Include a requirement that specifies the handling of unsaved data, such as 'The system shall prompt the user to save their work before logging off due to inactivity.'"
R17,Does not specify the format or appearance of the popup window displaying the reminder message.,"Include a requirement that specifies the format and appearance of the popup window, such as 'The popup window shall display the reminder message in a bold font with a blue background.'"
R19,Does not specify what happens if the immunization reminder is ignored.,"If the immunization reminder is ignored, the system shall send an alert to the administrator."
R22,Does not specify the format of the notification for required immunizations on the monthly invoice.,"Include a requirement that specifies the format of the notification, such as 'The notification shall be displayed in red text at the top of the invoice.'"
R26,Does not specify the format or content of the account history.,"Include a requirement that specifies the format and content of the account history, such as 'The account history shall include the date, description of the activity, and the amount involved.'"
R28,Does not specify how late pick-up fees are calculated and added to the invoice.,"Include a requirement that specifies the calculation method for late pick-up fees, such as 'Late pick-up fees shall be calculated based on the number of minutes past the scheduled pick-up time and added to the invoice automatically.'"
R39,"Does not specify how the user ID, date, time, and description of changes are recorded in the database.","Include a requirement that specifies the method for recording changes, such as 'The system shall log the user ID, date, time, and description of changes in a secure audit trail.'"
R44,Does not specify what happens if the maximum number of children in a classroom is exceeded.,"Include a requirement that specifies the handling of over-enrollment, such as 'The system shall prevent the addition of more than 20 children to a classroom and notify the administrator.'"
R50,Does not specify the expected performance metrics for user requests.,"Include a requirement that specifies performance metrics, such as 'The system shall respond to 95% of user requests within 20 seconds.'"
