Label,Issue,Suggestion
N/A,The document does not specify the total number of supported concurrent users.,"The system shall handle up to 10,000 concurrent users without performance degradation."
Section 1.2,The document does not specify the data retention period for the telemetry and IDFS data sets.,"Specify the data retention period for telemetry and IDFS data sets, e.g., 'The data shall be retained for a minimum of 10 years.'"
APAF-FR-01,The requirement does not specify the frequency of data acquisition from ESOC.,The APAF system shall acquire telemetry data from ESOC on a daily basis.
APAF-FR-02,The requirement does not specify the format of the IDFS data sets.,The APAF system shall process all ASPERA-3 science data into IDFS data sets in a format compliant with NASA PDS standards.
APAF-FR-07,The requirement does not specify the update frequency for the web-based displays.,Web-based displays of the most current ASPERA-3 data shall be updated every 24 hours for public view.
APAF-PR-01,The requirement does not specify the method of password protection.,The APAF system web server shall use industry-standard encryption and authentication methods for password protection.
APAF-CR-02,The requirement does not specify the backup frequency for the archival system.,The UNIX-based APAF system production computer shall have an archival system with daily backups.
APAF-DR-01a,The requirement does not specify the handling of transmission errors.,"If transmission errors occur, the ASPERA-3 IDFS data shall be re-transmitted within the next 24 hours."
APAF-DR-02c,The requirement does not specify the format for the calibrated and validated data.,ASPERA-3 data shall be provided to NASA PDS in a PDS-compliant format no later than 6 months after acquisition.
Section 3.3,The document does not provide details on internal interface requirements.,The Software Design Documents of each of the seven components shall contain detailed information on the internal interfaces.
Section 3.4,The document does not provide details on internal data requirements.,The Software Design Documents of each of the seven components shall contain detailed information on the virtual instrument data items.
Section 3.9.4,The document does not specify any software quality metrics.,"Specify software quality metrics such as reliability, maintainability, availability, flexibility, portability, testability, and usability."
Section 3.9.6,The document does not specify any personnel-related requirements.,"Specify personnel-related requirements such as user roles, responsibilities, and required skill levels."
Section 3.9.7,The document does not specify any training-related requirements.,Specify training-related requirements for users and operators of the APAF data system.
