Label,Level,Issue,Correction,Native
Section 4.2,2,does not specify details,"there should be at least 2GB of available storage, but more could be needed for projects with lines of code bigger than 10.000",yes
F10,1,does not refer to the related requirement that defines the file format,refer to F80,yes
F10,1,does not refer to the related section that defines the data schema,refer to Section 9,yes
F10,1,does not refer to the related section that defines the command,refer to Section 10,yes
F20,1,does not refer to the related section that defines the command,refer to Section 10,yes
F20,1,does not refer to the related section that defines output format,refer to Section 9,yes
F20,1,does not refer to the related section that defines the command,refer to Section 10,yes
F30,1,does not refer to the related section that defines the command,refer to Section 10,yes
F40,1,does not refer to the related section that defines the command,refer to Section 10,yes
F40,2,does not specify the schema of the JSON output,The system shall export the results in a JSON file with a standardized schema.,yes
F50,2,does not specify the how the user will configure parameters,The system shall consider lines changed in more than 30% of commits as frequently changed.,yes
F50,1,does not refer to the related section that defines the command,refer to Section 10,yes
F70,2,does not specify the format of the .octoignore file,The .octoignore file shall follow the same format as .gitignore.,yes
F80,1,does not refer to the related section that defines the command,refer to Section 10,yes
F90,2,does not specify the schema of the SQLite database,"The system shall store metadata in an SQLite database with a schema that includes tables for commits, tests, and results.",yes
F100,1,does not refer to the related section that defines the command,refer to Section 10,yes
F100,2,does not specify the highlighting colors,The system shall use orange to highlight frequently changed lines of code.,yes
F100,2,does not specify the criteria for often changed lines,The system shall consider lines changed in more than 30% of commits as often changed.,yes
F110,2,does not specify the structure of the config file,"The config file shall be in JSON format and include settings for output format, ignored files, and metadata filters.",yes
NF10,2,does not specify the maximum response time,The system shall provide output within 3 seconds for standard operations.,yes
NF40,3,does not specify the CLI usability features,The CLI shall provide auto-completion and context-sensitive help.,yes
NF70,2,does not specify the measures and maintenance procedures,The system shall include comprehensive documentation for maintenance and troubleshooting and offer runtime-log for easy diagnostics.,yes
Section 7.2,2,does not specify recovery or program state when a command is improper,Improper command is ignored.,yes
Section 9,2,does not fully detail all the product data and output schema beyond examples,"Session has a CommitId, previousCommitId and tests, while each test has an id, contents and passes field.",yes
Section 10,2,does not define the command for changing revision,...,yes
Section 10,2,does not provide a requirement about the configuration of 'generate' command,...,yes
Section 10,2,does not provide a requirement about the configuration of 'analyse' command,...,yes
Section 10,2,does not provide a requirement about the command 'project-scan',...,yes
Section 10,2,does not provide a requirement about the configuration of 'project-scan',...,yes
Section 10,2,does not provide a requirement about the configuration 'set',...,yes
Section 10,2,does not provide a requirement about the command 'get',...,yes
