Label,Level,Issue,Correction,Native
N/A,1,does not include a section on user interface design,"The system shall provide a user-friendly interface with intuitive navigation, consistent layout, and responsive design for various devices.",yes
3.4.2.1,2,does not specify the type of home computer required for the DH home web server,"The DH home web server shall be hosted on a home computer running at least Windows 10, macOS 10.15, or a Linux distribution with kernel version 5.4 or higher.",yes
4.4.1,2,does not specify the type of contact sensors and alarms,The DigitalHome security system shall use magnetic contact sensors and piezoelectric sound alarms.,yes
5.2.2.2,3,does not specify the time required for system recovery,The system recovery mechanism shall restore system data within 5 minutes of a failure.,yes
5.3.1,3,does not include safety measures of children or disabled individuals,"The system shall provide child safety locks and alerts for appliances to prevent accidental activation.",yes
5.4.1,2,does not specify the encryption algorithm to be used,The DigitalHome web system shall use AES-256 encryption for securing user data.,yes
5.6,3,does not detail  user privacy and data ownership.,"Users shall retain ownership of their data, and the system shall provide options to export or delete their data upon request.",yes
3.2.1.4,2,Does not specify the process for adding a user account,"The system shall provide a user-friendly interface for the Master User to add new user accounts, including fields for username, password, and user role.",yes
3.4.2.a.iv,3,Does not specify the backup frequency for user account information,"The system shall perform a daily backup of user account information, user plans, and the home database.",yes
4.1.1,3,Does not specify the types of small appliances that can be controlled,"The system shall allow control of small appliances such as coffee makers, lamps, and fans.",yes
4.2.1.b,2,Does not specify the behavior when the temperature is set outside the specified range,The system shall display an error message if the user attempts to set the thermostat temperature outside the range of 60°F to 80°F.,yes
4.3.1.b,2,Does not specify the behavior when the humidity level is set outside the specified range,The system shall display an error message if the user attempts to set the humidity level outside the range of 30% to 60%.,yes
4.4.2,2,Does not specify the duration for which the alarm will be activated,The system shall activate the alarm for a duration of 5 minutes when a security breach occurs.,yes
Glossary,1,does not define ISP,Internet Service Provider,no
5.5,1,does not fulfill the template of four elements,...,no
5.4.2,3,lacks a password entry for the login,Log in to an account shall require entry of an account name and a password.,no
5.2.1,2,does not specify the reliability criteria,"... reliable with no more than 1 failure per 10,000 hours of operation",no
5.1,2,does not specify the proximity accurately,"An environmental sensor or controller device shall have to be within 1000 feet of the master control device, in order to be in communication with the system.",no
5.1.4,1,requirement missing,...,no
4.4,1,title missing,Security System Requirements,no
5.5.1.c,1,reference missing,"ref 6,7,8,9 and ref 4",no
