Label,Issue,Suggestion
N/A,Does not specify the expected behavior if an invalid neural network topology is imported,The system shall display an error message and prevent the import of invalid neural network topologies
N/A,Does not specify the expected behavior if an invalid image format is imported,The system shall display an error message and prevent the import of invalid image formats
N/A,Does not specify the maximum number of neural networks that can be imported,The system shall allow importing up to 10 neural networks simultaneously
N/A,Does not specify the expected behavior if the user tries to start an inference without selecting all required parameters,The system shall disable the 'Start the inference' button until all required parameters are selected
N/A,Does not specify the expected behavior if the user tries to export results without running an inference,The system shall disable the 'Export results' button until an inference has been run
N/A,Does not specify the expected behavior if the user tries to view results without running an inference,The system shall disable the 'View results' button until an inference has been run
N/A,Does not specify the expected behavior if the user tries to remove a neural network that is currently in use,The system shall prevent the removal of neural networks that are currently in use and display an appropriate message
N/A,Does not specify the expected behavior if the user tries to remove an image that is currently in use,The system shall prevent the removal of images that are currently in use and display an appropriate message
N/A,Does not specify the expected behavior if the user tries to select a hardware component that is not available,The system shall display an error message and prevent the selection of unavailable hardware components
N/A,Does not specify the expected behavior if the user tries to import more than the maximum number of images,The system shall display an error message and prevent the import of more than 100 images
N/A,Does not specify the expected behavior if the user tries to import a neural network topology that is not compatible with the specified hardware,The system shall display an error message and prevent the import of incompatible neural network topologies
N/A,Does not specify the expected behavior if the user tries to start multiple inference instances simultaneously,The system shall prevent starting multiple inference instances simultaneously and display an appropriate message
N/A,Does not specify the expected behavior if the user tries to run an inference on unsupported hardware,The system shall display an error message and prevent running inferences on unsupported hardware
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported neural network topology,The system shall display an error message and prevent running inferences with unsupported neural network topologies
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported image format,The system shall display an error message and prevent running inferences with unsupported image formats
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of hardware and neural network topology,The system shall display an error message and prevent running inferences with unsupported combinations of hardware and neural network topologies
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of hardware and image format,The system shall display an error message and prevent running inferences with unsupported combinations of hardware and image formats
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of neural network topology and image format,The system shall display an error message and prevent running inferences with unsupported combinations of neural network topologies and image formats
N/A,"Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of hardware, neural network topology, and image format","The system shall display an error message and prevent running inferences with unsupported combinations of hardware, neural network topologies, and image formats"
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple hardware components,The system shall display an error message and prevent running inferences with unsupported combinations of multiple hardware components
N/A,Does not specify the expected behavior if the user tries to run an inference with an unsupported combination of multiple neural network topologies,The system shall display an error message and prevent running inferences with unsupported combinations of multiple neural network topologies
