Label,Issue,Suggestion
Section 1.1,does not specify the types of modeling diagrams used,"Specify the types of modeling diagrams used, such as UML diagrams, flowcharts, or ER diagrams"
Section 1.2,does not specify the detailed requirements that will be traced,Include a list of detailed requirements that will be traced throughout the project
R7,does not specify the process for resetting a password,"Define the process for resetting a password, including who can reset it and how"
R12,does not specify how a new password is assigned,"Specify the method for assigning a new password, such as through an administrator or an automated system"
R13,does not specify what happens to unsaved work when a user is logged off,Define the behavior for unsaved work when a user is logged off due to inactivity
R17,does not specify the format of the popup window displaying the reminder message,Specify the format and appearance of the popup window displaying the reminder message
R19,does not specify what happens if the immunization reminder is ignored,"If the immunization reminder is ignored, the system shall send an alert to the administrator"
R22,does not specify the format of the immunization notification on the invoice,Define the format and appearance of the immunization notification on the invoice
R26,does not specify the type of activity recorded in the account history,Specify the types of activities that will be recorded in the account history
R27,does not specify the format of the itemized customer invoices,Define the format and appearance of the itemized customer invoices
R29,does not specify the format of the printed invoices,Define the format and appearance of the printed invoices
R30,does not specify the format of the Customer Directory Report,Define the format and appearance of the Customer Directory Report
R31,does not specify the format of the Daily Classroom & Center Enrollment Report,Define the format and appearance of the Daily Classroom & Center Enrollment Report
R32,does not specify the format of the Birthday Lists & Child Age Report,Define the format and appearance of the Birthday Lists & Child Age Report
R33,does not specify the format of the Parent/Child Cross Reference Report,Define the format and appearance of the Parent/Child Cross Reference Report
R34,does not specify the format of the Family Registration Information Report,Define the format and appearance of the Family Registration Information Report
R35,does not specify the format of the Immunization Due & History Report,Define the format and appearance of the Immunization Due & History Report
R36,does not specify the format of the Child Enrollment/Withdrawal Report,Define the format and appearance of the Child Enrollment/Withdrawal Report
R37,does not specify the format of the Child Notes & Comments Report,Define the format and appearance of the Child Notes & Comments Report
R38,does not specify the format of the Account Activity Report,Define the format and appearance of the Account Activity Report
R39,does not specify the format of the log entry for account edits,Define the format and appearance of the log entry for account edits
R40,does not specify the format for storing parent information,Define the format and structure for storing parent information
R41,does not specify the format for storing child information,Define the format and structure for storing child information
R43,does not specify the format for customer log notes,Define the format and structure for customer log notes
R44,does not specify what happens if the classroom exceeds 20 children,Define the behavior and actions to be taken if the classroom exceeds 20 children
R47,does not specify the format of the waiting list,Define the format and structure of the waiting list
R48,does not specify compatibility with other web browsers,"Specify compatibility with other web browsers such as Chrome, Firefox, and Safari"
R50,does not specify the actions taken if the system does not respond within 20 seconds,Define the actions to be taken if the system does not respond within 20 seconds
N/A,"does not provide complete labels and references for all figures, tables, and diagrams","Ensure all figures, tables, and diagrams are labeled and referenced completely"
N/A,does not define all terms and units of measure,Define all terms and units of measure used in the document
