Label,Issue,Correction
/F10/,Does not specify the supported file formats for PCAP files,The system shall support PCAP file uploads in .pcap and .pcapng formats only.
/F20/,Does not specify the default values for the preprocessor configuration,"The system shall provide default values for the preprocessor configuration: Length scaling: 150, Value scaling: Off, Normalization: None, Autoencoder and PCA are selected, Number of hidden layers: 4, Number of nodes in hidden layers: (256, 64, 32, 8), Loss function: MSE, Number of epochs for the training: 100, Optimizer: adam."
/F22/,Does not specify the expected time for preprocessing to complete,The system shall complete the preprocessing within 5 minutes for a PCAP file of up to 1GB.
/F30/,Does not specify the color coding for different protocols,"The system shall use distinct colors for each protocol in the network topology graph: e.g., HTTP - Blue, FTP - Green, TCP - Red."
/F40/,Does not specify the shapes used for different protocols in the result graph,"The system shall use distinct shapes for each protocol in the result graph: e.g., HTTP - Circle, FTP - Square, TCP - Triangle."
/F50/,Does not specify the performance metrics for PCA,The system shall display the performance of PCA using the explained variance ratio for each principal component.
/F60/,Does not specify the zoom levels for graphs,The system shall support zoom levels from 10% to 200% for all graphs.
/F70/,Does not specify the image formats for saving graphs,The system shall support saving graphs as images in PNG and JPEG formats.
/F80/,Does not specify the method for selecting runs to compare,The system shall provide a dropdown menu to select and compare up to three different runs side by side.
/F90/,Does not specify the responsiveness criteria for asynchronous interaction,The system shall remain responsive to user input with a maximum delay of 1 second while the preprocessor is running.
/F100/,Does not specify the types of statistics to be shown,"The system shall display the following statistics for the PCAP file: Count of devices, Count of used protocols, Count of packets, Device that sent the most packets."
/F200/,Does not specify the window size for graphs,The system shall open graphs in a new window with a default size of 800x600 pixels.
/F210/,Does not specify the default key bindings,"The system shall provide the following default key bindings: Open session - Ctrl + O, Save session - Ctrl + S, Save session as - Ctrl + Alt + S, Run preprocessor - Ctrl + R."
/F220/,Does not specify the format for identifiers in saved sessions,"The system shall include identifiers in the saved session file in the format: Program version hash, PCAP file hash."
/F230/,Does not specify the threshold for large data warnings,The system shall display a warning if the selected PCAP file contains more than 2 million packets.
/F240/,Does not specify the contents of the PDF report,"The system shall include the following in the PDF report: Configurations of preprocessing runs, Results of those configurations, Performance graphs of those configurations."
``
