Label,Issue,Correction
/FR-U-10/,Does not specify the format for the neural network list,The system shall display the list of neural networks in a drop-down menu with each entry showing the network name and version.
/FR-U-30/,Does not specify the supported file formats for importing neural network topology,The system shall support importing neural network topologies in ONNX format only.
/FR-U-60/,Does not specify the supported file formats for input images,"The system shall support importing input images in JPEG, JPG, and PNG formats only."
/FR-U-100/,Does not specify the format for displaying inference results,The system shall display inference results in a pop-up window with a scrollable list if multiple results are present.
/FR-U-110/,Does not specify the format for exporting results and diagnostic data,The system shall export results and diagnostic data in a structured JSON file.
/FR-A-10/,Does not specify the format for error and warning messages,The system shall display error and warning messages in a red-colored text box within the user interface.
/FR-A-30/,Does not specify the criteria for argument validity,"The system shall check arguments for validity based on predefined criteria such as file format, file size, and compatibility with selected hardware."
/FR-A-70/,Does not specify the format for the run-time log file,The system shall save the run-time log file in a plain text format with a timestamp for each event.
/PD10/,Does not specify the minimum height and width for input images,The system shall support input images with a minimum height and width of 224 pixels.
/PD20/,Does not specify the compatibility criteria for imported neural networks,The system shall ensure that imported neural network topologies are compatible with the selected hardware based on predefined compatibility criteria.
/PD30/,Does not specify the format for inference results and diagnostic data,The system shall save inference results and diagnostic data in a structured JSON file.
Section 4.1,Does not specify the expected behavior for invalid user actions,The system shall display an appropriate error message and prevent further actions if the user performs an invalid action.
Section 5.3,Does not specify the expected behavior for different types of errors,"The system shall categorize errors into critical and non-critical, displaying appropriate messages and taking necessary actions based on the error type."
Section 6,Does not specify the version control strategy,"The development team shall use Git for version control, following a branching strategy with feature branches, release branches, and a main branch."
