Label, Issue, Suggestion
N/A, glossary is missing, include a glossary with the definitions of each term used in the document.
MC10, does not specify the format of the neural network topology file," add the requirement ""The neural network topology file must be in ONNX format."""
MC60, does not specify the supported image formats," add the requirement ""Supported image formats are JPEG", JPG," and PNG."""
MC100, does not specify what happens if a missing hardware component is selected," add the requirement ""If a missing hardware component is selected"," an error message shall be displayed."""
OC10, does not specify the FPGA model," add the requirement ""The supported FPGA model is Terasic DE1-SOC."""
OC20, does not specify what happens to the partially processed data when inference is aborted," add the requirement ""If the inference is aborted"," the partially processed data shall be discarded."""
OC30, does not specify the format of the elapsed time display," add the requirement ""The elapsed time shall be displayed in the format HH:MM:SS."""
OC40, does not specify the maximum number of images that can be imported," add the requirement ""The maximum number of images that can be imported is 100."""
OC50, does not specify how the results from multiple hardware components are displayed," add the requirement ""The results from multiple hardware components shall be displayed in a comparative graph."""
OC100, does not specify which languages are supported," add the requirement ""The supported languages are English", Spanish," and French."""
RC10, does not specify the operating system version," add the requirement ""The program can only be run on Ubuntu 20.04."""
FR-U-10, does not specify the format of the neural network topology file," add the requirement ""The neural network topology file must be in ONNX format."""
FR-U-60, does not specify the supported image formats," add the requirement ""Supported image formats are JPEG", JPG," and PNG."""
FR-U-110, does not specify the format of the exported results," add the requirement ""The exported results shall be in CSV format."""
FR-A-30, does not specify what happens if the arguments are invalid," add the requirement ""If the arguments are invalid"," an error message shall be displayed."""
FR-A-70, does not specify the format of the runtime log file," add the requirement ""The runtime log file shall be in plain text format."""
PD10, does not specify the supported image formats," add the requirement ""Supported image formats are JPEG", JPG," and PNG."""
PD20, does not specify the format of the neural network topology file," add the requirement ""The neural network topology file must be in ONNX format."""
PD30, does not specify the format of the inference results," add the requirement ""The inference results shall be in CSV format."""
PD40, does not specify the format of the runtime log file," add the requirement ""The runtime log file shall be in plain text format."""
NR30, does not specify which other languages may be supported," add the requirement ""The supported languages are English", Spanish," and French."""
