Label,Issue,Suggestion
N/A,The document does not specify the maximum number of concurrent users the system can handle.,The system shall handle up to 500 concurrent users without performance degradation.
R7,Does not specify the process for resetting a forgotten password.,The system shall provide a 'Forgot Password' feature that allows users to reset their password via email verification.
R13,Does not specify what happens to unsaved data when a user is logged off due to inactivity.,The system shall save the user's work automatically before logging off due to inactivity.
R17,Does not specify if the reminder popup can be dismissed or snoozed.,The reminder popup shall have options to dismiss or snooze the reminder.
R19,Does not specify what happens if the immunization reminder is ignored.,"If the immunization reminder is ignored, the system shall send an alert to the administrator."
R22,Does not specify the format or details included in the immunization notification on the invoice.,"The immunization notification on the invoice shall include the child's name, the immunization due date, and the type of immunization required."
R26,Does not specify the format or details included in the account history.,"The account history shall include the date, description of the activity, and the amount involved."
R28,Does not specify how late pick-up fees are calculated and added to the invoice.,Late pick-up fees shall be calculated based on the number of hours late and added to the invoice automatically.
R29,Does not specify the format or details included in the invoices.,"Invoices shall include a breakdown of charges, payment due date, and any applicable discounts or late fees."
R39,Does not specify how changes to account information are tracked and displayed.,"Changes to account information shall be tracked with a timestamp and user ID, and displayed in an audit log accessible to administrators."
R44,Does not specify what happens if the maximum number of children in a classroom is exceeded.,"If the maximum number of children in a classroom is exceeded, the system shall place additional children on a waiting list."
R47,Does not specify how the waiting list is managed and how parents are notified of openings.,"The waiting list shall be managed on a first-come, first-served basis, and parents shall be notified of openings via email or phone."
R50,Does not specify the expected performance metrics for the system's response time.,The system shall respond to all user requests within 5 seconds under normal operating conditions.
Section 3,Does not specify the external systems or APIs the NCCM system will interact with.,"The NCCM system shall interact with external systems such as payment gateways, email servers, and third-party authentication services."
Section 4,Does not specify the hardware and software requirements for the Web server supporting ASP.NET.,"The Web server shall have at least 8GB RAM, a quad-core processor, and run Windows Server 2016 or later with IIS installed."
