Label,Issue,Suggestion
N/A,The document does not define responses to all realizable input data in any conceivable situation.,"Include a section that defines system behavior for all possible input scenarios, including edge cases and error conditions."
N/A,"The document does not provide complete labels and references for all figures, tables, and diagrams, and does not define all terms and units of measure.","Ensure all figures, tables, and diagrams are labeled and referenced properly. Define all terms and units of measure used in the document."
Section 1.1,The goals and objectives section does not specify measurable goals or success criteria.,"Include specific, measurable goals and success criteria for the project."
Section 1.2,"The statement of scope does not detail the boundaries of the system, such as what is out of scope.",Clearly define what functionalities and features are out of scope for the NCCM system.
R7,The requirement does not specify what happens if a user forgets their username.,Include a process for recovering or resetting a forgotten username.
R12,The requirement does not specify how a new password is assigned if a user forgets their current one.,"Detail the process for assigning a new password, including any security measures such as identity verification."
R13,The requirement does not specify what happens to unsaved work when a user is logged off due to inactivity.,Specify that the system should save the user's work automatically before logging off due to inactivity.
R17,The requirement does not specify what happens if the user does not acknowledge the reminder popup.,"Include a description of the system behavior if the reminder popup is not acknowledged, such as repeated notifications or escalation."
R19,The requirement does not specify what happens if the immunization reminder is ignored.,"If the immunization reminder is ignored, the system shall send an alert to the administrator."
R22,The requirement does not specify what happens if the immunization notification is not printed on the invoice.,"Include a fallback mechanism, such as sending an email notification to the parent if the immunization notice is not printed on the invoice."
R26,The requirement does not specify the format or structure of the account history.,"Define the format and structure of the account history, including what specific information will be recorded."
R28,The requirement does not specify how late pick-up fees are calculated and applied.,Detail the calculation method for late pick-up fees and how they are applied to the customer's account.
R29,The requirement does not specify what happens if an invoice fails to print.,"Include a procedure for handling failed invoice prints, such as retrying the print or notifying an administrator."
R39,"The requirement does not specify how the user ID, date, time, and description of changes are recorded in the database.","Detail the logging mechanism for recording user edits, including the format and storage location of the logs."
R44,The requirement does not specify what happens if a classroom exceeds the maximum of 20 children.,"Include a system response for when a classroom exceeds the maximum capacity, such as preventing additional enrollments or notifying an administrator."
R47,The requirement does not specify what happens when the waiting list reaches its maximum capacity of 100 potential customers.,"Detail the system behavior when the waiting list is full, such as notifying administrators or allowing for an overflow list."
R50,The requirement does not specify what happens if the system fails to respond within 20 seconds.,Include a timeout handling mechanism and specify the user experience if the system fails to respond within the specified time.
