Label,Issue,Correction
/FR-U-10/,Does not specify the format for user-imported neural network topology,The system shall accept user-imported neural network topologies in ONNX format only.
/FR-U-60/,Does not specify the supported file formats for input images,"The system shall support input images in JPEG, JPG, and PNG formats only."
/FR-U-100/,Does not specify the format for exporting results and diagnostic data,The system shall export results and diagnostic data in CSV format.
/FR-A-10/,Does not specify the types of error and warning messages,"The system shall display error and warning messages for invalid selections, missing files, and unsupported formats."
/PD10/,Does not specify the minimum dimensions for input images,The system shall support input images with a minimum resolution of 128x128 pixels.
/PD20/,Does not specify the compatibility requirements for imported neural networks,The system shall only accept neural network topologies that are compatible with the specified hardware components.
/PD30/,Does not specify the format for inference results and diagnostic data,The system shall store inference results and diagnostic data in JSON format.
/TC-INF-10/,Does not specify the expected output format for inference results,The system shall display inference results in a pop-up window with confidence scores and diagnostic data in tabular format.
/TC-ERR-10/,Does not specify the types of invalid neural networks,"The system shall display an error message for unsupported neural network formats, corrupted files, and incompatible topologies."
/TC-ERR-30/,Does not specify the types of invalid images,"The system shall display an error message for unsupported image formats, corrupted files, and images with dimensions smaller than the minimum supported size."
